News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"The GOP’s health bill will protect people with pre-existing conditions ""every bit as well as Obamacare did.""",Ron Johnson,"September 20, 2017",an,Tom Kertscher,"September 22, 2017",FALSE
"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",Luther Strange,"August 29, 2017",a campaign website:,John Kruzel,"September 22, 2017",FALSE
"""Republicans want to restore #gunrights to felons""",José Serrano,"September 12, 2017",a tweet:,Dan Clark,"September 22, 2017",TRUE
"The Graham-Cassidy health care bill does ""include coverage of pre-existing conditions.""",Donald Trump,"September 21, 2017",a tweet:,Jon Greenberg,"September 21, 2017",FALSE
"""Thomas Jefferson said, ‘Government that governs least governs best.’ """,Mike Pence,"September 21, 2017",comments,Joshua Gillin,"September 21, 2017",FALSE
"Says ""Carnival Cruise Lines will now offer free cruises"" to hurricane victims.",BreakingNews247.net,"September 20, 2017",a fake news post:,Joshua Gillin,"September 21, 2017",pants-fire
"""Since we took office, we have been outpacing the nation in job growth.""",Eric  Greitens,"August 23, 2017",a Facebook Live:,Tateanna McCaskill,"September 21, 2017",half-true
"Says Ted Cruz is the ""same senator who once supported a ban on sex toys.""",New York Post,"September 12, 2017",a tweet:,W. Gardner Selby,"September 21, 2017",FALSE
"""Ronald Reagan was a verified Democrat until his mid-50s.""",Kevin Nicholson,"August 6, 2017",a TV,D.L. Davis,"September 21, 2017",TRUE
"Says the Austin metro region ""will lead"" the nation ""with population growth over 50%"" over the next 30 years.",John Thomaides,"June 27, 2017",a tweet:,W. Gardner Selby,"September 20, 2017",TRUE
"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.""",Bill Cassidy,"September 20, 2017",an,Louis Jacobson,"September 20, 2017",FALSE
"""Private insurance companies in this country spend between 12 and 18 percent on administration costs. The cost of administering the Medicare program, a very popular program that works well for our seniors, is 2 percent. We can save approximately $500 billion a year just in administration costs.""",Bernie Sanders,"September 17, 2017",an,Manuela Tobias,"September 20, 2017",half-true
"North Carolina is home to ""two rivers of the top five most polluted rivers"" in the U.S.",Billy Richardson,"August 31, 2017",,Paul Specht,"September 20, 2017",FALSE
"""House Dems introduce bill to remove citizenship requirement from presidency.""",Bloggers,"September 18, 2017",a blog post:,Miriam Valverde,"September 20, 2017",pants-fire
"""Companies are moving back, creating job growth the likes of which our country has not seen in a very long time.""",Donald Trump,"September 19, 2017",a speech to the United Nati,Louis Jacobson,"September 20, 2017",half-true
"""Even with a permanent income tax increase... the budget is more than $1 billion out of balance…""",Bruce Rauner,"September 7, 2017",,Matt Dietrich,"September 20, 2017",TRUE
"Vermont had to ""scrap"" its single-payer health insurance program because it was ""going bankrupt.""",Sean Duffy,"September 14, 2017",a Facebook Live town hall:,Tom Kertscher,"September 20, 2017",FALSE
"""Seventy-six percent of the American people support us passing the DREAM Act … with citizenship and legalization as part of it all. … More than 60 percent of Republicans support that.""",Nancy Pelosi,"September 18, 2017",a speech at Sacramento State University:,Chris Nichols,"September 19, 2017",TRUE
"""Susan Rice arrested for criminal ‘unmasking’ of Trump officials.""",TheLastLineOfDefense.org,"September 18, 2017",a headl,Joshua Gillin,"September 19, 2017",pants-fire
"""U.S. comedian Kevin Hart in critical condition after gory car crash.""",NYDailyNews-TV.com,"September 18, 2017",a headl,Susan Areson,"September 19, 2017",pants-fire
"""Long gas lines forming in North Korea.""",Donald Trump,"September 17, 2017",a tweet:,Louis Jacobson,"September 19, 2017",half-true
"Says PolitiFact reported that ""95 percent of what (Donald Trump) says is a lie.""",Joy Behar,"September 6, 2017",comments,Joshua Gillin,"September 18, 2017",FALSE
"Says ""92 percent of the people agree on DACA.""",Donald Trump,"September 14, 2017",remarks to reporters:,Miriam Valverde,"September 18, 2017",half-true
"Says U.S. Treasury Secretary Steven Mnuchin ""wants to use a government jet that costs $25,000 per hour for his honeymoon.""",Mark Pocan,"September 13, 2017",a tweet:,Tom Kertscher,"September 18, 2017",TRUE
"""African Americans in Missouri are 75 percent more likely to be stopped and searched by law enforcement officers than caucasians.""",Derrick  Johnson,"August 2, 2017",a travel advisory:,Emily McCarter,"September 18, 2017",half-true
"Says Roy Moore is ""on the wrong side of Trump’s border wall.""",Senate Leadership Fund,"September 14, 2017",an attack ad:,Jon Greenberg,"September 18, 2017",FALSE
"Democrats ""setup"" and ""manipulated"" the political violence in Charlottesville",Dana Rohrabacher,"September 14, 2017",a news article:,Chris Nichols,"September 15, 2017",pants-fire
"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""",Young Conservatives,"September 8, 2017",an Internet post:,Louis Jacobson,"September 15, 2017",FALSE
"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",Kris Kobach,"September 7, 2017",Breitbart column:,Manuela Tobias,"September 15, 2017",FALSE
"San Francisco and Takoma Park, Md., are ""allowing illegals to vote.""",Adam Putnam,"August 30, 2017",a tweet:,Miriam Valverde,"September 15, 2017",half-true
"""Calling for the assassination of the president is a federal crime.""",William Lacy Clay,"August 18, 2017",an article,Emily Sanderson,"September 15, 2017",half-true
"""Nearly 2/3 of rural Missourians don’t have access to broadband. That needs to change.""",Roy Blunt,"September 8, 2017",a tweet:,Katelyn Brown,"September 15, 2017",TRUE
"""President Obama used"" his DACA order ""to unilaterally confer U.S. citizenship.""",Ken Paxton,"September 5, 2017",a press release:,W. Gardner Selby,"September 15, 2017",pants-fire
"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""",Dave Brat,"September 7, 2017",an,Miriam Valverde,"September 15, 2017",FALSE
"""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",Paul Ryan,"September 1, 2017",an,Tom Kertscher,"September 15, 2017",TRUE
"Says ""the latest polls show us tied neck-and-neck"" with Sen. Ted Cruz.",Beto O'Rourke,"August 10, 2017",a Facebook post:,W. Gardner Selby,"September 14, 2017",half-true
"The mobilization of the military in response to the storms in Puerto Rico and the U.S. Virgin Islands ""is the largest ever mobilization of our military in a naval and marine operation"" and an Air Force carrier there ""was the first-ever as well.""",Tom Bossert,"September 11, 2017",a White House press brief,Allison Graves,"September 14, 2017",FALSE
"""Since I’ve been the state treasurer, we’ve increased the building, construction of affordable housing by 80 percent.""",John Chiang,"August 13, 2017",a Facebook live video:,Chris Nichols,"September 13, 2017",half-true
"Wisconsin is ""guaranteeing Foxconn almost $3 billion, but Foxconn is not contractually guaranteeing how many full-time employees it will hire, for how long and at what pay.""",Andy Gronik,"September 5, 2017",an op-ed,Tom Kertscher,"September 12, 2017",half-true
"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",Freedom Daily,"September 6, 2017",a blog post:,Miriam Valverde,"September 12, 2017",FALSE
"The new Illinois school funding formula ""created a tax shelter for the wealthy and a voucher program…""",Karen Lewis,"September 4, 2017",a blog post:,Matt Dietrich,"September 12, 2017",half-true
"""Paul Ryan doesn't know what the minimum wage is in Wisconsin.""",Tweets,"September 11, 2017",tweets:,Tom Kertscher,"September 11, 2017",FALSE
"""Florida Governor Rick Scott now listed as ‘critical’ after bizarre hurricane cleanup accident.""",TheLastLineOfDefense.org,"September 11, 2017",a blog post:,Aaron Sharockman,"September 11, 2017",pants-fire
"""Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead""",Bloggers,"September 7, 2017",a fake news article:,Greg Auman,"September 11, 2017",pants-fire
"""Mar-A-Lago (was) destroyed by (Hurricane) Irma (and) Jared Kushner (is) still missing.""",Bloggers,"September 10, 2017",a blog post:,John Kruzel,"September 11, 2017",pants-fire
"""The Affordable Care Act is the single largest tax increase in my lifetime.""",Karen Handel,"August 30, 2017",a teleph,Jon Greenberg,"September 11, 2017",FALSE
"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",Eric Schneiderman,"September 6, 2017",an,Miriam Valverde,"September 11, 2017",TRUE
"""The governor’s cuts would kick over 8,000 people out of their homes.""",Crystal Quade,"August 9, 2017",a letter:,Katie Parkins,"September 10, 2017",FALSE
"""Just in our first six months in office, Missouri moved up the rankings nine places ... of the best states to do business.""",Eric  Greitens,"August 23, 2017",a Facebook live c,Emma Diltz,"September 10, 2017",half-true
"Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",Louise Slaughter,"September 5, 2017",a tweet:,Dan Clark,"September 10, 2017",TRUE
"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.""",Glenna Hodge,"July 20, 2017",testim,W. Gardner Selby,"September 8, 2017",FALSE
"Sen. Kirsten Gillibrand ""no longer supports the fight to combat the international delegitimization of Israel.""",American Israel Public Affairs Committee,"August 3, 2017",an email blast to supporters:,Dan Clark,"September 8, 2017",FALSE
"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",Al Franken,"September 5, 2017",an,John Kruzel,"September 8, 2017",TRUE
"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",Bloggers,"September 2, 2017",an article,Jon Greenberg,"September 8, 2017",pants-fire
"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""",Babylon Bee,"May 24, 2017",a web post:,Louis Jacobson,"September 8, 2017",pants-fire
"Says Tony Evers ""allowed a middle-school teacher found guilty of spreading pornographic material at school to keep teaching students.""",Republican Party of Wisconsin,"August 21, 2017",a digital ad:,Tom Kertscher,"September 8, 2017",FALSE
"""Computer models show Irma destroying New York City on Sept. 10.""",Bloggers,"September 5, 2017",an Internet post:,Manuela Tobias,"September 7, 2017",pants-fire
"""We're still doing dumb things like telling the parent of an 11-year-old that it's against the law for them to tell their parents what they were tested on ... That will end when I'm governor.""",Adam Putnam,"August 12, 2017",a Republican party meet,Allison Graves,"September 7, 2017",FALSE
"""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""",Rick Santorum,"September 3, 2017",a CNN,Manuela Tobias,"September 6, 2017",half-true
"Says a poll showed 70 percent to 75 percent of people want to see Confederate statues ""remain up and not taken down.""",Sid Miller,"August 23, 2017",an,W. Gardner Selby,"September 6, 2017",half-true
